position,company,salary range,brutto
Scrum Master (Payments),Revel Systems,2900-4300,True
Front End Developer,UAB „Iterato“,1500-2500,False
Mid/Senior PHP Developer,UAB „Iterato“,1800-3200,False
Junior PHP Developer,UAB „Iterato“,800-1500,False
Angular Developer,UAB „BALTIC VIRTUAL ASSISTANTS“,1500-1800,False
NET. PROGRAMUOTOJAS (-A),UAB „Topo grupė“,Nuo 1450,False
VYRIAUSIASIS (-IOJI) PROJEKTŲ VADOVAS (-Ė) (CRM projektui),"Registrų Centras, VĮ",2400-3600,True
IT inžinierius (-ė),UAB „BTT Group“,700-1100,False
Xamarin developer,ATEA grupė,1200-2700,False
Xamarin developer,ATEA grupė,1200-2700,False
Software Testing Engineer,Revel Systems,2700-4300,True
VYR. IT PROJEKTŲ VADOVAS (-Ė),UAB „Simplika“,Nuo 4044,True
Solution Architect to Financing & Loans at SEB in Vilnius,SEB,4500-5900,True
Studijos pamainų vadovas (-ė),UAB „TV ŽAIDIMAI“,Nuo 900,False
IT specialistas/-ė,UAB „DHL LIETUVA“,1600-2165,True
IT SUPPORT SPECIALIST,UAB „Hotelston“,1250-1900,True
Implementation Consultant for Process Automation,UAB „Indigroup“,2500-4000,True
"Data Analyst (SQL, Python-R)",UAB „Indigroup“,Nuo 3000,True
El. parduotuvių priežiūros specialistas,UAB „Internet Marketing Solutions“,1000-1500,False
Jr. Product Owner (BI&Analytics),Revel Systems,2500-3500,True
IT Support Analyst,UAB „Manpower Lit“,1650-2050,True
PHP developer,UAB „ALLIANCE RECRUITMENT“,2475-4960,True
.NET regular,UAB „ALLIANCE RECRUITMENT“,2630-4132,True
.NET senior,UAB „ALLIANCE RECRUITMENT“,4132-5785,True
Montuotojas,UAB „NORDIS“,Nuo 800,False
MS Dynamics AX / Dynamics 365 FO Technical Consultant,UAB „People Link“,2975,True
TECHNICAL SUPPORT MANAGER,UAB „BAA Training“,Nuo 1653,True
Internal Communication Manager,UAB „NFQ Technologies“,2190-3290,True
Sr. PHP Developer,UAB „Indigroup“,4650-5800,True
GAMYBOS ĮRANGOS IT SPECIALISTAS (-Ė) TECHNIKOS TARNYBOJE,KG Group įmonių grupės Paukštininkystės verslas,800-1200,False
